brand,tweet_id,customer_text,brand_reply,heuristic,hand_label,label_rationale,confidence
SpotifyCares,2792166,@117153 help! Cant reset password !,"@779255 Hi Zeb. Help's arrived! Could you send us your email address via DM? Also, if you've received any error messages while trying to reset your password, a screenshot of it would be really helpful. We'll see what's going on /KA https://t.co/ldFdZRiNAt",deflection,deflection,DM email + screenshot requested,high
AppleSupport,2971327,"@115858 @AppleSupport so my phone froze for about 3 hours, then it died, then it turned on with 3% battery. What tf is going on?",@225259 Let's move over to DM and continue there. See you there. https://t.co/GDrqU22YpT,deflection,deflection,"Channel switch to DM, no step",high
AmazonHelp,25883,@119356 @AmazonHelp @1560 I have purchased a keybrd &amp;mouse mrp shows 787 bt bill amt 799 from amazon .. https://t.co/LA3QOEQZo0,@121654 The MRP of the product delivered might differ from the MRP mentioned on the website. This could happen owing to a (1/3) ^KA,unclear,substantive,Explains MRP discrepancy inline,medium
TMobileHelp,686648,"@TMobileHelp @115913 I'm in your store right now, waiting for somebody to explain to me why I was given $130 worth of ""free"" accessories I am now paying for","@283951 @115913 Send a DM my way so we can check your bill out together, I look forward to working with you https://t.co/Nr93OTtXRx *TaylorBest",substantive,deflection,"Send DM, no step",high
AppleSupport,1142135,@AppleSupport how my adapter start to mess up right before I preorder the X?,"@388835 We'd like to see how we can help. Let us know what adapter you're referring to, and how it's not working. We'll get started.",unclear,deflection,Diagnostic question about adapter,high
Ask_Spectrum,2073031,@115955 I mean I'm not going to die without wifi but I pay for your services. v v v disappointing,@613141 Hi Ashley! I would really like to help with your Internet services. When you can plz DM your phone number and address to chat? ^DT,substantive,deflection,DM phone/address requested,high
Ask_Spectrum,2166978,Your internet is complete dog shit @115955,"@519241 Sorry to hear you're having internet issues. If you'd like help, please DM your phone number and address so we can look into it for you. ^LS",deflection,deflection,DM phone/address requested,high
SpotifyCares,981739,@SpotifyCares Will there be any possibility to change my profile name in the future? (Not a Facebook user),@352770 Hi there! Could you send us your account's email address or username via DM? We'll take a look backstage /LP https://t.co/ldFdZRiNAt,deflection,deflection,DM account email/username requested,high
AmazonHelp,1238788,"@52379 Hi, I ordered a gold hanging file organizer months ago on @115821 and there is no shipping date forthcoming. Are you going to make more of them so my office can shine?","@410570 Hi Amanda, you'll be updated on the status of your order as soon as information is available. Sorry for your wait and hopefully it won't be long before your office can sparkle and shine! Let us know if you need any further assistance. ^AP",unclear,deflection,"Apology + timeline promise, no action",high
Uber_Support,1130621,@Uber_Support my account won't let me log in please help!!,"@386451 We're here to help! Send us a note here, https://t.co/Md7v036OoC and so our team will assist.",deflection,deflection,Link-only channel switch,high
SpotifyCares,921566,It seems to me very bad that @115888 doesn't allow me to access the discount for STUDENTS by going to the HS instead of to the university.,"@338769 Hi! We're afraid we don't have a high school student discount, but you can support the idea here: https://t.co/B79Dww7rFK /BP",substantive,substantive,"Direct answer: no HS discount, vote link given",high
TMobileHelp,1499014,@115911 where my iPhone X at send it now pls,@468044 Hi Hunter! You can check the status of your order via My T-Mobile. DM us if you need help. *GiselleM,substantive,substantive,Direct instruction: check order status via My T-Mobile,high
AmazonHelp,2890442,"#OnePlus5TRiddles 
The beast is here
But unable to place an order @115850 .
Unable to contact on Toll free number",@801350 Don't worry we have your back. Our support team will be happy to help. You can connect with us here: https://t.co/R3EfhzgU8B. ^CB,substantive,deflection,"Link only, no inline step",high
AppleSupport,291429,No one at @115858 could possibly be using @118721 for it to be so awful. Why does it still lose playlist if paused more than a few minutes?!,"@185388 We'd like to help. Can you tell us which device you're using? Also, are you an Apple Music member?",unclear,deflection,"Diagnostic question: device, Apple Music member",high
Uber_Support,2598618,@Uber_Support In your attempt to fix it. You screwed up further and now are subtracting money from me fot a ride completed.,"@491759 Hi, we have followed up with your support inquiry. Please check your support messages for that outreach, thank you for your patience.",substantive,deflection,"Refers to support messages, no inline step",high
SpotifyCares,2728390,@SpotifyCares it's already been taken care of. I found a way to send a form without signing in. Thanks!,@765011 No worries! Give us a shout if you ever need us again. We'll always be... https://t.co/LgAM6ky9Vv 😁 /MA,unclear,unclear,"Already self-resolved, closing acknowledgement",high
Uber_Support,2061474,"@115873 is anything funky going on? My app can’t connect to your servers, been trying for the 20 min. Had to use lyft.","@609678 Here to help! Send us a note here, https://t.co/u3MyknJaaN and our team will follow up.",deflection,deflection,Link-only channel switch,high
Uber_Support,108989,@115877 what a shame ... The app doesn't have neither COD nor Net Banking options and Can't even add Paytm,@140187 Here to help! Follow up here; https://t.co/3eYc7uUEUm and our team will connect right away.,unclear,deflection,Link-only channel switch,high
AmazonHelp,1265207,"Amazon先生
パワーレンジャーのBlu-ray注文して、コンビニ支払いをして、いまになって品がないからキャンセルって、お金はどういうふうに返してくれるんだろう？？？ https://t.co/kKo0BwMZbC",@264258 ご迷惑をおかけしております。コンビニ払いの場合は、Amazonギフト券にてのご返金となります。詳しくはこちらをご参照ください。https://t.co/V3PHXj2mOa ET https://t.co/WNvDpopVNM,deflection,substantive,Explains refund method inline,medium
TMobileHelp,2378424,"Wait... the hell

Did @115911 really just charge $6.00 on the Netflix bill EVEN WHEN ADVERTISED AS COMPLETELY FREE?",@366106 Hey! Let's take a look at your bill together to make sure you're qualifying &amp; have nothing to worry about :) Send us a DM! *TerriL,substantive,deflection,"Send DM to review bill, no inline step",high
AmazonHelp,1883389,@AmazonHelp Je suis en maison et mes voisins étaient absents j’ai rien recu la dernière fois que Chronopost mon livré c’était derrière mon portail,@562042 Je vous propose de contacter notre SAV via : https://t.co/qzuu0dgDXz afin qu'une enquête soit ouverte concernant la livraison. ^MH,unclear,deflection,"Link to SAV contact, no inline step",high
AppleSupport,428383,"@AppleSupport Why wifi &amp; bluetooth connection on control center doesnt connected directly to setting? I’d prefer to have a direct connection, thus its could be switched on/off like cellular button.","@216890 We're here to help. Are you using iOS 11? If so, take a look at this article: https://t.co/6AXcdsdpsM",unclear,deflection,"Diagnostic question + link, no inline step",medium
Uber_Support,832746,@Uber_Support Done this a million times.,"@318324 We'll check the status of your inquiry, J. Please share your email address in DM and we'll connect. https://t.co/sd7yH5jmbJ",substantive,deflection,DM email requested,high
AmazonHelp,903636,"Estoy enfermando con los puñeteros Funkos de los cojones, ya he vuelto a pedir por @116928... #TaLuego🙋",@334511 Hola Fran. ¿Cuántos Funkos tienes en tu colección? ^JJ,deflection,unclear,"Off-topic conversational exchange, not resolving anything",low
Uber_Support,1427200,@Uber_Support Please also add additional credits to my account for wasting 2 weeks trying to get this resolved,@451524 We're here to help! Please follow up with us via DM with additional details and we'll be in touch. https://t.co/sd7yH5jmbJ,deflection,deflection,DM with details requested,high
AmazonHelp,1151189,@115821 you guys ok? I can’t purchase anything from the website. :-(,"@390901 Thanks for checking on us! We haven't had any reported outages, though! Are you receiving an error? ^LB",unclear,deflection,Diagnostic question about error,high
Uber_Support,1999472,@115873 has only sent me automated emails and now I am locked out of my corporate account. #badcustomerservice,@591202 A member of our team is looking into this matter and will reach out to you as soon as possible. Thank you for your continued patience.,unclear,deflection,"Vague looking-into-it, no info",high
AppleSupport,594690,@AppleSupport High Sierra I believe,"@260898 Thanks for confirming.  Is your network strong?  Are you connected wirelessly or with an Ethernet connection?  Also, are you able to see the progress bar moving?",unclear,deflection,Diagnostic questions about network/connection,high
AmazonHelp,2416110,@115830 Prime order should have been delivered Fri. Didn't arrive. Email then said delivery Sat. Didn't arrive. Why so poor?,@694409 Sorry to hear you're still waiting Paula- What does the tracking advise now? ^NV,unclear,deflection,Diagnostic question about tracking,high
Ask_Spectrum,2066794,@Ask_Spectrum my internet is down again... like it is every weekend... who do I need to talk to to solve this permanently?,"@611175 Hello, I do apologize for the issues you are experiencing with our service and I will be happy to assist. Can you... https://t.co/q63caX61iW",unclear,deflection,"DM ask, truncated but account-verification pattern",high
Ask_Spectrum,1500859,@Ask_Spectrum Please provide more specific timeline for restoration of services in Maine. People &amp; biz count on you. Don't let us down.,"@468448 Hi Dawn, I apologize for the inconvenience the outage has caused you. I am sorry, at this time our engineers have... https://t.co/ORC98ujpva",unclear,deflection,"Apology only, no concrete timeline given",medium
SpotifyCares,1964614,And Spotify doesn't have any mixtapes,"@582434 1: Hi, we'll pass on your feedback! It's intended for personal use only. You might be interested in Premium for Family. To learn more, go...",unclear,substantive,Explains policy and suggests concrete alternative product,medium
AppleSupport,1160693,Selected 496 unread emails only to have my mail app crash while attempting to delete them. WTF @115858,@393077 We'd like to help. What device are you using? https://t.co/GDrqU22YpT,deflection,deflection,Diagnostic question + link,high
Uber_Support,2237787,"#UBER @115873 @Uber_Support 
Please have a look into my case already i have given all the information or uber just mislead and provide poor support to the customers ?",@652562 Hi there! We see your outreach via in-app. It seems that a member of our team is currently reviewing your email and we'll follow up as soon as possible.,unclear,deflection,"Vague reviewing-email, no info",high
Uber_Support,1232369,@Uber_Support Messaged!,"@409029 Hey there, Julia! We appreciate the update. A member of our team will be following up via DM shortly to take a closer look at this fare.",substantive,deflection,"Follow-up via DM promised, no step",high
AppleSupport,587075,"Has anybody else had issues with their iPhone 7s? 📱 I can be on anything messages, apps, music etc and every 5 minutes it crashes, refreshes and goes back to passcode screen 😩 @AppleSupport can you help please?",@258656 That shouldn't be happening. We'd be happy to help. Let us know which version of iOS you have via DM. https://t.co/GDrqU22YpT,deflection,deflection,Diagnostic question via DM,high
TMobileHelp,1514570,"@TMobileHelp Good to know. My current phone didn't have it even when I had the premium insurance, it's confusing but will make sure to check next time","@181828 Absolutely Naim, our Apple Care insurance just started sometime in March so it's still fairly new. =) *VictorianLang",unclear,substantive,Explains AppleCare insurance timing inline,medium
SpotifyCares,1933421,"@SpotifyCares I received a charge to my checking account from ""Spotify USA"" 10/27 I am confident that I have never signed up for an account.","@575323 Hey Dax! We'd recommend deleting your previous tweet as it contains private info. Don't worry, we've sent a DM your way /MT https://t.co/ldFdZRiNAt",deflection,deflection,Core issue deferred to DM despite privacy tip,high
TMobileHelp,2653314,"@115913 @TMobileHelp here we go, they provided me with the cancellation disclosure, but my business is not valued anything https://t.co/kLjW8aTr6G. it has been a fun 10 years. but thanks for pushing me to cancel/",@362519 @115913 I do hope our solution will keep you for another 10 years. Thanks again. *ZachRicketts,unclear,unclear,"Closing farewell remark, no action",high
Uber_Support,524999,@Uber_Support Wow it’s been 5 hours. Terrible support,"@241416 Hi, a member of our team has followed up with your support inquiry. Please check out your email inbox or in-app support messages to review that outreach, and reply for further assistance. Thank you for your patience and understanding.",substantive,deflection,"Refers to email/in-app messages, no inline step",high
AmazonHelp,1311540,"@115850 Order # 403-6533347-5513138
Urgent delivery for the order, product is to be delivered on 27 but please ensure it by 12 pm today","@426476 I understand your urgency. However, please wait until the end of the day for the product to be delivered. 1/2^SC",unclear,deflection,"Apology + timeline, no action",high
AmazonHelp,227406,@AmazonHelp Have already filled the same and sent you and surprised this is being asked again,"@170235 In this case, you must have received an email correspondence from our us. Request you to check the same and reply to it. ^SH",substantive,deflection,"Refers to email, no inline step",high
AppleSupport,778888,"@AppleSupport 

Y tho? https://t.co/r4NN1ENN3f",@306013 We'd like to look into this with you. Send us a DM by clicking on the link below. We'll continue there. https://t.co/GDrqU22YpT,deflection,deflection,"DM ask, no step",high
Uber_Support,2412876,@148768 @115877 Have been trying since 2 pm. Krispy Kreme is still not showing up. I work in Knightsbridge,"@693651 We're sorry to hear about the trouble! We're working hard to sort a technical issue caused by high demand. Please doughnut worry, there will still be plenty of time to order. If you're not immediately connected, do try again.",substantive,substantive,Explains demand-related cause and suggests retry,medium
Ask_Spectrum,1520841,Yo @ask_spectrum wtf channels are authorized?!?,@472749 You can view your local channel lineup here https://t.co/C6nZbXNIW9​ . ^AS,substantive,deflection,"Link-only channel lineup, no inline info",medium
Uber_Support,1857720,@196983 you have a systemic problem of your drivers not accepting to take service dogs accompanying blind clients..Your drivers are breaking the law,"@555529 We want to look further into this, Ellen! Please have your husband reach our team at https://t.co/NLib7M6cfM so we can further assist.",unclear,deflection,"Channel switch via link, husband must contact",high
TMobileHelp,2620307,"@TMobileHelp @740435 @115913 No they are not, please don't add insult to the injury by first brushing aside existing customers, and then claiming they they are for new and existing customers. There is not a single phone deal for existing customers without new line/etc.","@179044 @115913 Hey! Those new lines may not be as high you think and I'd love to go over all of you options. We'd be sad to see you go. Send me a DM, if you've like to chat. https://t.co/3sF8qpf2nx *AlissaFast",deflection,deflection,"Send DM, no step",high
SpotifyCares,928908,@115888 What if I already have @115940 and want to combine do I have to create a whole new account?! 😤,@340392 Hey Peyton! You can link your Hulu account to your Spotify student discount at https://t.co/cnaaFIwigZ. Just head to Activate Hulu /BH,substantive,substantive,Names specific linking steps and URL,high
AmazonHelp,73597,#Amazon # Delivering Sadness# Received Fake Product # worst customer Experience in the world # Amazon #@132458 #@132459 #@132460 #No replacement # Amazon flooding fake product in India # Stop shopping at Amazon#Lets uninstall Amazon from India # https://t.co/XqGdV7rON1,@131812 I get your situation. We've responded to your concern here: https://t.co/80GCWwU5Qi. Request you to check and do the needful. ^HS,substantive,deflection,Link only,high
Uber_Support,2972048,@Uber_Support Help a brother out,@819729 Find out more info here: https://t.co/3h8wdQ4EJK,deflection,deflection,"Link-only, no inline content",medium
Uber_Support,1299587,@Uber_Support I have filled that form on the website itself a short while back. They sent me a link to confirm my email id. I have done the same.,"@423743 Happy to check the status for you, Pranay. Please DM us your account email and we'll follow up. Thanks!",substantive,deflection,DM account email requested,high
Ask_Spectrum,891669,"@Ask_Spectrum The app doesn't list spectrum as a provider.checked under TWC, CHARTER, ,nothing","@331735 I checked with the website and the app on my IPhone, I was seeing us listed as TWC Spectrum. What device are you ... https://t.co/ccrQQbi3Dg",unclear,deflection,Diagnostic question about device + link,high
TMobileHelp,234320,@115911 y’all getting the pixel 2 anytime soon?,@171777 We have no word on that as of now. Purchase this device at an original realtor and receive $325 or half off the 64GB. *NaeJ,unclear,substantive,Direct factual answer: pricing/promo info given inline,high
AmazonHelp,627844,@AmazonHelp What's the cost of prime for 2018?,@268695 The Prime membership will cost Rs. 999 per year. ^AP,deflection,substantive,Direct factual answer given,high
SpotifyCares,1070408,"@SpotifyCares web player, Google Chrome on Linux (OS irrelevant).","@171765 1: Thanks for the info. Just a heads up, we don't officially support Linux but we'll try our best to help you get this fixed. Have...",substantive,deflection,"Vague no-official-support note, truncated",medium
AmazonHelp,441919,@AmazonHelp Lol u all r getting back to me since yesterday @AmazonHelp @115850 @115821 #Amazon #pathetic,"@219794 I just checked and we've received your details, please allow us some time and we'll reach out. ^KA",unclear,deflection,Apology + timeline promise,high
AmazonHelp,1274969,@115821 I pay for amazon prime. I ordered items for my business on Thurs. they are not here. App says they won’t be until Tuesday. Why?,"@418447 Hi, I'm sorry to hear that. Not all items are available for immediate dispatch, 2 day refers to transit time for those. ^AT",unclear,substantive,Explains transit-time reason inline,high
Ask_Spectrum,2951222,"If your company uses Outlook 365 and employees get bouncebacks from .rr.com customers, you are not alone. Spectrum (formerly Time Warner Cable) has a significant problem with Outlook 365 users getting rejected, and after a month of calls,…https://t.co/y1zDW2DPQg",@814367 I am sending another test using a different account. ^SS,deflection,unclear,"Vague non-response, no action stated",low
AppleSupport,2408596,.@AppleSupport Scroll is also patchy. 11.1.1 has it all jacked up.,@237538 We'd like to hear more about what's going on. What happens when you try to swipe up to unlock? Let us know in DM and we'll continue there. https://t.co/GDrqU22YpT,substantive,deflection,Diagnostic question + DM,high
Uber_Support,2011311,@Uber_Support Nothing was credited to my account 😔,"@272879 Hello, Sarah. You should see a credit added to your account now. Check the payment tab and you should see the credit on your account.",substantive,substantive,"Direct instruction: check payment tab, credit added",high
AmazonHelp,1425377,"@115821 Another messed up delivery by ""AMZL US"", Can I just have Fedex, UPS or DHL please?","@451149 I am sorry to hear about this delivery issue, James. We'd love to assist. Please give more info here: https://t.co/l5teZMwsK8 ^BE",unclear,deflection,"Asks for more info via link, no inline step",high
SpotifyCares,1944523,@SpotifyCares oh hi spotify how are you today i didn’t expect you on my profile,"@578064 We're on call! If we can help with anything else, just let us know. Have a... https://t.co/FQulrDtFky 🙂 /AY",unclear,unclear,"Casual non-support banter, no action needed",high
Uber_Support,56028,"@Uber_Support thanks, but I don't see an opportunity to ""reach out"" on this page.",@128714 We're here to help! Send us a DM with your email address so we can follow up.,deflection,deflection,DM email address requested,high
Ask_Spectrum,1369821,@Ask_Spectrum  https://t.co/uUDaCUM11f,"@438854 If you decide you would like a callback, please let us know and I'd be happy to set that up for you. ^RT",unclear,unclear,Non-responsive to complaint content,low
AppleSupport,2374383,@AppleSupport The graphics card on our 2009 model has gone out. Need to buy new and transfer data from old machine.,"@684943 Thanks for confirming that. To purchase a new Mac, an appointment would not be needed. The Apple Store would also be able to help you with setting up the new Mac as well.",unclear,substantive,"Direct answer: no appointment needed, store can help",medium
AppleSupport,1214507,@AppleSupport Yep! As soon as I disconnected my Bluetooth connection FT worked perfectly,@405016 Let's make sure that everything is updated. What version of macOS  are you using? Are there any updates for the UE Boom?,substantive,deflection,"Diagnostic question: macOS version, updates",high
SpotifyCares,1941359,@SpotifyCares I moved from 🇺🇸 to 🇨🇦. Following your instructions but website won't accept new post code when I change payment method. https://t.co/RFkms7tsoq,@577330 Hey Stephen! Can you DM us your account's username and email address? We'll see what we can suggest /JL https://t.co/ldFdZRiNAt,deflection,deflection,DM account username/email requested,high
SpotifyCares,2052911,@115888 WHY WOULD YOU PLAY ADS IN THE MIDDLE OF A SONG?!?! #WHY #COMEONDUDE 😒,@607128 Hey there! It seems you're on Spotify Free. Feel free to check out https://t.co/zgnxs5kPEu if you haven't had a subscription before /MO,substantive,substantive,Explains why ads occur (free tier) inline,high
AppleSupport,2052604,Dear @115858 can yall do an iOS update that actually improves battery life instead of destroying it #iOS1102,@607039 Many factors can affect battery life. Try using these steps: https://t.co/bivpdfBNJ6 DM us if you still need help. https://t.co/GDrqU22YpT,substantive,deflection,"Link-only steps, no inline content, plus DM",medium
SpotifyCares,637663,@SpotifyCares just sent one! pls help,@271196 We're just replying now! 💚 /I,deflection,unclear,"Vague non-answer, no content",low
Ask_Spectrum,2979373,Hey @115955 paying a bill should not that hard when you have my card on file...... every time....... 😠😠😠😠,@821690 Hi Lisa! I am very sorry you have encountered this concern when trying to pay your bill. Are you needing any help with this? ^DT,unclear,deflection,"Generic diagnostic question, no fix",high
AppleSupport,2690885,"@115858 my apple id is connected to number that's not belong me and i can't access to my account because it needs verification code, what should i do ?","@756475 For help with this, please contact one of our Apple ID specialists here: https://t.co/UJm15vmMM2",unclear,deflection,Channel switch to specialist link,high
Uber_Support,284125,@Uber_Support Could you email invoice for 10/5 Philly ride (nhandy007) to __email__? Receipt doesn't show the credits detail. Thx,"@174434 Absolutely, Nathan! We've resent your receipt, so please check your inbox (spam and junk folders too).",substantive,substantive,"Concrete action taken: receipt resent, check inbox/spam",high
